shipment_id,order_id,courier_partner,warehouse_location,dispatch_date,delivery_date,delivery_status,estimated_days
1245,1245,Bluedart,Hyderabad,2025-06-05,2025-06-09,Delivered,5
1246,1246,DTDC,Bhopal,2025-05-13,2025-05-19,Delivered,6
1247,1247,Delhivery,Kochi,,,Not Shipped,5
1248,1248,Bluedart,Mumbai,2025-05-11,,In Transit,7
1249,1249,DTDC,Lucknow,2025-09-21,2025-09-27,Delivered,6
1250,1250,Bluedart,Bhubaneswar,,,Processing,2
1251,1251,Delhivery,Nagpur,2026-06-29,2026-07-01,Delivered,3
1252,1252,Bluedart,Kolkata,2025-10-01,2025-10-05,Delivered,4
1253,1253,Bluedart,Ranchi,2024-12-06,2024-12-14,Delivered Late,7
1254,1254,Xpressbees,Amritsar,2025-11-07,2025-11-13,Delivered Late,6
1255,1255,Delhivery,Mysuru,2025-10-16,2025-10-21,Delivered,6
1256,1256,Bluedart,Patna,,,Not Shipped,3
1257,1257,Bluedart,Amritsar,2026-04-23,2026-04-25,Delivered,2
1258,1258,Bluedart,Kanpur,2026-02-19,2026-02-25,Delivered Late,5
1259,1259,DTDC,Pune,2025-04-19,2025-04-26,Delivered,7
1260,1260,DTDC,Pune,2026-02-22,2026-03-01,Delivered Late,4
1261,1261,Ekart Logistics,Guwahati,2024-11-26,2024-12-01,Delivered,5
1262,1262,Ekart Logistics,Coimbatore,2026-02-07,,In Transit,6
1263,1263,Ekart Logistics,Pune,2026-05-17,2026-05-24,Delivered,7
1264,1264,Delhivery,Indore,2026-01-20,2026-01-30,Delivered Late,7
1265,1265,Ekart Logistics,Bhopal,2025-08-23,2025-09-01,Delivered Late,7
1266,1266,DTDC,Patna,2025-12-29,2026-01-01,Delivered,4
1267,1267,Bluedart,Indore,2026-03-04,,In Transit,2
1268,1268,Bluedart,Lucknow,2026-02-12,2026-02-15,Returned,3
1269,1269,Ecom Express,Nagpur,2025-08-05,2025-08-08,Returned,4
1270,1270,Delhivery,Nashik,2026-07-17,2026-07-19,Delivered,3
1271,1271,Xpressbees,Nashik,2025-11-21,2025-11-29,Delivered Late,7
1272,1272,Bluedart,Jaipur,2026-02-28,,In Transit,6
1273,1273,Ekart Logistics,Nagpur,2025-01-16,,In Transit,2
1274,1274,DTDC,Mysuru,2026-03-26,2026-03-29,Delivered Late,2
1275,1275,Ecom Express,Ranchi,2025-11-07,2025-11-10,Delivered Late,2
1276,1276,Ecom Express,Bengaluru,2026-03-24,2026-03-30,Delivered,7
1277,1277,Bluedart,Hyderabad,2026-08-12,2026-08-17,Delivered,5
1278,1278,Ecom Express,Vadodara,2024-10-23,2024-10-26,Delivered,3
1279,1279,Bluedart,Jaipur,2025-05-04,2025-05-10,Delivered,7
1280,1280,Ekart Logistics,Vadodara,2025-03-29,2025-04-05,Delivered,7
1281,1281,Bluedart,Nagpur,2024-11-07,,In Transit,3
1282,1282,Ecom Express,Nagpur,2026-06-27,2026-07-01,Delivered Late,3
1283,1283,Bluedart,Guwahati,,,Not Shipped,7
1284,1284,Xpressbees,Ranchi,2025-10-25,2025-10-29,Returned,4
1285,1285,DTDC,Guwahati,2024-12-28,2024-12-31,Delivered Late,2
1286,1286,Ecom Express,Mysuru,2025-03-12,2025-03-17,Delivered Late,4
1287,1287,Ecom Express,Delhi,2026-01-30,2026-02-05,Delivered,6
1288,1288,Ecom Express,Delhi,2026-01-25,2026-01-29,Delivered,5
1289,1289,Delhivery,Mumbai,2025-03-16,2025-03-24,Delivered Late,7
1290,1290,Xpressbees,Nashik,2026-06-03,2026-06-09,Delivered,6
1291,1291,Ekart Logistics,Lucknow,2025-12-22,2025-12-27,Delivered Late,3
1292,1292,Ekart Logistics,Ranchi,2026-08-15,,In Transit,6
1293,1293,Xpressbees,Kochi,2026-02-26,2026-03-04,Delivered Late,4
1294,1294,DTDC,Amritsar,2026-04-12,,In Transit,2
1295,1295,Bluedart,Amritsar,2025-06-07,2025-06-12,Delivered Late,4
1296,1296,Ekart Logistics,Ranchi,2025-09-07,2025-09-12,Delivered,6
1297,1297,DTDC,Bhopal,2026-05-28,2026-06-01,Delivered,5
1298,1298,Ekart Logistics,Coimbatore,2025-07-25,2025-07-27,Delivered,2
1299,1299,Delhivery,Kanpur,2025-11-27,2025-11-30,Delivered,4
1300,1300,Ecom Express,Mysuru,2026-05-17,2026-05-20,Delivered,3
1301,1301,Ecom Express,Coimbatore,2026-01-02,2026-01-09,Delivered,7
1302,1302,Ekart Logistics,Chandigarh,2026-07-13,2026-07-15,Delivered,3
1303,1303,Ekart Logistics,Coimbatore,2025-07-25,,In Transit,2
1304,1304,Ecom Express,Nashik,,,Processing,7
1305,1305,DTDC,Bhubaneswar,2026-02-01,2026-02-06,Delivered Late,3
1306,1306,Ekart Logistics,Amritsar,2024-10-11,2024-10-15,Delivered,4
1307,1307,Ekart Logistics,Vadodara,2025-12-02,2025-12-05,Delivered,3
1308,1308,Bluedart,Nashik,2026-07-29,2026-07-31,Delivered,3
1309,1309,Ecom Express,Delhi,,,Not Shipped,3
1310,1310,Ekart Logistics,Bhubaneswar,2026-01-19,2026-01-23,Delivered,4
1311,1311,Xpressbees,Ranchi,,,Not Shipped,3
1312,1312,Delhivery,Kochi,2026-05-19,2026-05-21,Delivered,2
1313,1313,Ekart Logistics,Vadodara,2026-04-26,2026-04-29,Delivered,4
1314,1314,Ekart Logistics,Kanpur,2025-11-13,,In Transit,5
1315,1315,Xpressbees,Surat,2025-05-29,2025-06-01,Delivered,4
1316,1316,Ekart Logistics,Ahmedabad,2026-06-02,2026-06-06,Delivered,4
1317,1317,Delhivery,Mumbai,2025-04-26,2025-04-29,Delivered,3
1318,1318,Ecom Express,Nashik,2025-10-12,2025-10-14,Delivered,2
1319,1319,Xpressbees,Surat,2025-07-01,2025-07-06,Delivered Late,3
1320,1320,Xpressbees,Pune,2025-08-23,2025-08-24,Delivered,2
1321,1321,Xpressbees,Mumbai,2025-11-01,2025-11-06,Delivered,6
1322,1322,DTDC,Mumbai,2025-03-11,2025-03-12,Delivered,2
1323,1323,DTDC,Delhi,2024-10-16,2024-10-18,Delivered,3
1324,1324,Ekart Logistics,Guwahati,2025-08-19,2025-08-25,Delivered Late,4
1325,1325,Bluedart,Coimbatore,2025-04-01,2025-04-05,Delivered,4
1326,1326,Bluedart,Bhopal,2026-03-05,2026-03-06,Delivered,2
1327,1327,Xpressbees,Kanpur,2025-12-30,2026-01-04,Delivered,6
1328,1328,Delhivery,Delhi,2025-04-03,2025-04-06,Delivered,3
1329,1329,Delhivery,Delhi,2024-08-01,2024-08-04,Delivered,3
1330,1330,Ekart Logistics,Kolkata,,,Not Shipped,6
1331,1331,Xpressbees,Guwahati,2026-05-07,,In Transit,5
1332,1332,Bluedart,Bhubaneswar,2024-08-06,2024-08-13,Delivered Late,7
1333,1333,Ecom Express,Nagpur,2025-10-09,2025-10-19,Delivered Late,7
1334,1334,Delhivery,Pune,2026-03-12,2026-03-15,Returned,3
1335,1335,Delhivery,Kanpur,2025-11-08,2025-11-14,Returned,5
1336,1336,DTDC,Delhi,2026-05-26,2026-06-02,Delivered Late,6
1337,1337,Xpressbees,Lucknow,2024-07-18,2024-07-22,Delivered Late,4
1338,1338,DTDC,Vadodara,2026-01-18,2026-01-26,Delivered Late,7
1339,1339,Ekart Logistics,Nagpur,2025-04-25,2025-04-30,Delivered Late,4
1340,1340,Bluedart,Delhi,2026-01-07,2026-01-13,Delivered,6
1341,1341,Delhivery,Chandigarh,2025-08-07,2025-08-13,Delivered Late,6
1342,1342,Ecom Express,Lucknow,2024-11-18,2024-11-26,Delivered Late,7
1343,1343,DTDC,Nagpur,2026-05-09,2026-05-13,Delivered,5
1344,1344,Xpressbees,Jaipur,2024-06-29,2024-07-01,Delivered,3
1345,1345,DTDC,Kanpur,2024-07-14,2024-07-20,Delivered Late,6
1346,1346,Ekart Logistics,Ranchi,2025-12-05,2025-12-12,Delivered Late,7
1347,1347,Bluedart,Ahmedabad,2024-10-28,2024-10-31,Delivered Late,2
1348,1348,Ekart Logistics,Amritsar,2024-11-11,2024-11-15,Delivered Late,4
1349,1349,Ekart Logistics,Lucknow,2026-01-09,2026-01-16,Delivered Late,5
1350,1350,DTDC,Chennai,,,Not Shipped,3
1351,1351,Ecom Express,Patna,2024-11-11,,In Transit,7
1352,1352,Ecom Express,Surat,2025-01-08,2025-01-11,Delivered,3
1353,1353,Bluedart,Ahmedabad,2026-05-02,2026-05-09,Delivered Late,5
1354,1354,DTDC,Chennai,2024-04-17,2024-04-22,Delivered Late,5
1355,1355,Ecom Express,Kochi,2025-10-26,2025-11-02,Delivered,7
1356,1356,Delhivery,Surat,2025-07-21,2025-07-31,Delivered Late,7
1357,1357,Delhivery,Bhopal,2025-01-15,2025-01-18,Delivered,3
1358,1358,DTDC,Delhi,2025-09-15,2025-09-22,Delivered Late,4
1359,1359,Ekart Logistics,Hyderabad,2025-10-05,2025-10-07,Delivered,2
1360,1360,Ekart Logistics,Bhopal,2025-10-01,2025-10-03,Delivered,2
1361,1361,Bluedart,Pune,2025-11-03,2025-11-10,Delivered Late,7
1362,1362,Ecom Express,Ranchi,2025-09-04,,In Transit,7
1363,1363,DTDC,Mumbai,2025-02-19,2025-02-26,Delivered,7
1364,1364,Delhivery,Bhopal,2026-06-18,,In Transit,4
1365,1365,Ecom Express,Surat,,,Processing,7
1366,1366,DTDC,Pune,2026-02-09,2026-02-15,Delivered Late,6
1367,1367,Delhivery,Mysuru,2026-03-04,2026-03-06,Delivered,3
1368,1368,Xpressbees,Vadodara,,,Not Shipped,5
1369,1369,Xpressbees,Jaipur,2025-11-20,2025-11-26,Delivered,7
1370,1370,DTDC,Jaipur,2026-04-29,2026-05-05,Delivered,7
1371,1371,Bluedart,Mumbai,2025-09-12,2025-09-16,Delivered,4
1372,1372,Xpressbees,Kolkata,2026-07-24,,In Transit,6
1373,1373,Delhivery,Mumbai,2024-02-11,2024-02-20,Returned,7
1374,1374,Delhivery,Coimbatore,2025-11-12,2025-11-18,Delivered,6
1375,1375,DTDC,Guwahati,2026-07-05,,In Transit,7
1376,1376,Xpressbees,Vadodara,2024-10-11,2024-10-18,Delivered Late,5
1377,1377,Xpressbees,Nashik,2025-11-19,2025-11-25,Delivered,6
1378,1378,Ekart Logistics,Ranchi,2025-09-24,2025-09-29,Delivered,5
1379,1379,Delhivery,Guwahati,2025-10-03,2025-10-06,Returned,3
1380,1380,Ekart Logistics,Indore,2025-07-04,,In Transit,6
1381,1381,Ekart Logistics,Lucknow,2025-11-17,2025-11-21,Delivered Late,2
1382,1382,Bluedart,Bhubaneswar,2026-05-22,2026-05-28,Delivered,6
1383,1383,DTDC,Chennai,2025-07-27,2025-08-01,Returned,5
1384,1384,Bluedart,Ahmedabad,2025-09-08,2025-09-15,Delivered Late,4
1385,1385,Bluedart,Indore,2026-01-27,2026-01-29,Returned,2
1386,1386,DTDC,Indore,2025-06-04,2025-06-07,Delivered Late,2
1387,1387,Delhivery,Patna,2025-01-20,2025-01-25,Delivered,6
1388,1388,Delhivery,Kochi,2025-06-21,2025-06-28,Delivered,7
1389,1389,Ecom Express,Thiruvananthapuram,2026-02-25,2026-03-05,Delivered Late,7
1390,1390,Xpressbees,Jaipur,2026-08-18,2026-08-23,Delivered Late,3
1391,1391,Ekart Logistics,Coimbatore,2025-10-18,2025-10-22,Delivered Late,4
1392,1392,Bluedart,Lucknow,2025-08-19,2025-08-26,Delivered,7
1393,1393,Ecom Express,Chandigarh,2024-07-13,2024-07-18,Delivered,6
1394,1394,Bluedart,Chennai,2025-11-16,2025-11-25,Delivered Late,6
1395,1395,DTDC,Bhubaneswar,2024-12-16,2024-12-18,Delivered,2
1396,1396,Xpressbees,Mumbai,2024-11-19,2024-11-23,Delivered Late,2
1397,1397,Bluedart,Lucknow,2025-12-11,2025-12-16,Delivered Late,4
1398,1398,Ecom Express,Patna,2025-03-26,2025-04-02,Returned,7
1399,1399,Bluedart,Patna,,,Not Shipped,5
1400,1400,Delhivery,Nashik,2026-01-12,2026-01-18,Delivered,6
1401,1401,Delhivery,Ranchi,2024-08-10,2024-08-17,Delivered,7
1402,1402,Ekart Logistics,Surat,2026-04-16,2026-04-23,Delivered Late,7
1403,1403,Bluedart,Patna,,,Processing,2
1404,1404,Delhivery,Ranchi,2025-12-15,,In Transit,3
1405,1405,Delhivery,Patna,2026-08-01,2026-08-08,Delivered,7
1406,1406,Xpressbees,Coimbatore,2025-06-19,2025-06-28,Returned,7
1407,1407,Ekart Logistics,Vadodara,2025-03-29,2025-04-04,Delivered,7
1408,1408,Xpressbees,Pune,2026-06-22,2026-06-30,Delivered Late,7
1409,1409,Xpressbees,Jaipur,2025-03-13,2025-03-18,Delivered,5
1410,1410,DTDC,Nagpur,2025-06-03,2025-06-07,Delivered Late,3
1411,1411,Delhivery,Mumbai,,,Processing,4
1412,1412,Bluedart,Bengaluru,2025-06-22,2025-06-26,Delivered,4
1413,1413,Bluedart,Coimbatore,,,Processing,4
1414,1414,Ekart Logistics,Kochi,2025-01-28,2025-01-31,Delivered Late,2
1415,1415,Bluedart,Lucknow,2026-01-03,2026-01-07,Delivered,4
1416,1416,Ekart Logistics,Patna,2026-02-27,2026-03-06,Delivered,7
1417,1417,Ekart Logistics,Jaipur,2025-03-29,2025-03-31,Delivered,2
1418,1418,Xpressbees,Delhi,2026-05-31,2026-06-01,Delivered,2
1419,1419,Ekart Logistics,Mumbai,2025-11-26,2025-12-02,Delivered Late,5
1420,1420,Ecom Express,Bhubaneswar,2026-03-07,2026-03-11,Delivered Late,3
1421,1421,Ecom Express,Kanpur,2025-05-15,,In Transit,7
1422,1422,Delhivery,Chandigarh,2026-05-16,2026-05-21,Delivered Late,4
1423,1423,Ekart Logistics,Kanpur,2026-07-17,2026-07-23,Delivered,7
1424,1424,Ekart Logistics,Kolkata,2025-03-03,2025-03-11,Delivered Late,6
1425,1425,Delhivery,Chandigarh,2026-08-10,2026-08-11,Returned,2
1426,1426,Ekart Logistics,Bhubaneswar,2026-05-22,2026-05-23,Returned,2
1427,1427,Bluedart,Chandigarh,2024-10-10,2024-10-17,Delivered,7
1428,1428,Ecom Express,Kochi,2026-03-20,2026-03-26,Delivered Late,6
1429,1429,Bluedart,Patna,2026-01-30,2026-02-01,Delivered,3
1430,1430,Xpressbees,Nagpur,2025-05-25,2025-05-29,Delivered,5
1431,1431,DTDC,Guwahati,2025-12-27,2026-01-01,Delivered,6
1432,1432,Xpressbees,Nagpur,2026-03-25,2026-03-28,Delivered,3
1433,1433,Xpressbees,Lucknow,,,Not Shipped,3
1434,1434,Ekart Logistics,Nagpur,2025-10-31,2025-11-05,Delivered,5
1435,1435,DTDC,Delhi,2024-12-18,2024-12-25,Delivered Late,6
1436,1436,Bluedart,Amritsar,2025-01-22,2025-01-23,Delivered,2
1437,1437,Xpressbees,Bengaluru,,,Not Shipped,5
1438,1438,Bluedart,Bhopal,2024-07-19,2024-07-22,Delivered,3
1439,1439,Ekart Logistics,Kolkata,,,Not Shipped,3
1440,1440,Ekart Logistics,Kanpur,2026-03-16,2026-03-21,Delivered,6
1441,1441,Xpressbees,Delhi,2025-11-28,2025-12-05,Returned,7
1442,1442,Ekart Logistics,Hyderabad,2025-08-28,2025-09-03,Delivered Late,5
1443,1443,Ekart Logistics,Guwahati,,,Not Shipped,5
1444,1444,Ecom Express,Patna,2025-05-17,2025-05-19,Delivered,3
1445,1445,Ekart Logistics,Hyderabad,,,Not Shipped,7
1446,1446,Xpressbees,Surat,2025-10-24,2025-10-27,Delivered,4
1447,1447,Ecom Express,Patna,2026-03-09,2026-03-10,Delivered,2
1448,1448,Bluedart,Mysuru,2025-08-05,2025-08-07,Delivered,2
1449,1449,Ecom Express,Guwahati,,,Not Shipped,3
1450,1450,Delhivery,Bengaluru,2026-02-18,2026-02-23,Delivered Late,5
1451,1451,DTDC,Nashik,2025-12-14,2025-12-19,Delivered,5
1452,1452,Xpressbees,Delhi,2026-03-01,2026-03-05,Delivered,4
1453,1453,Xpressbees,Kolkata,,,Not Shipped,3
1454,1454,Delhivery,Pune,2025-09-26,2025-10-01,Delivered,5
1455,1455,Ekart Logistics,Mumbai,,,Not Shipped,5
1456,1456,Delhivery,Pune,,,Not Shipped,4
1457,1457,Ekart Logistics,Chandigarh,2025-12-27,2026-01-01,Delivered,6
1458,1458,DTDC,Chennai,2026-02-25,2026-03-03,Delivered,6
1459,1459,Delhivery,Kolkata,2026-02-03,2026-02-04,Delivered,2
1460,1460,Bluedart,Mumbai,,,Processing,4
1461,1461,Delhivery,Surat,2026-03-15,2026-03-20,Delivered,5
1462,1462,Xpressbees,Chennai,2024-08-02,2024-08-06,Returned,2
1463,1463,Ekart Logistics,Coimbatore,2024-04-28,2024-04-30,Delivered,2
1464,1464,Ecom Express,Kochi,2025-08-06,2025-08-12,Delivered,6
1465,1465,Ekart Logistics,Jaipur,2025-07-18,,In Transit,7
1466,1466,Delhivery,Bengaluru,2026-04-05,2026-04-08,Delivered,4
1467,1467,Ekart Logistics,Kochi,,,Not Shipped,3
1468,1468,DTDC,Coimbatore,2026-03-10,2026-03-12,Returned,3
1469,1469,Delhivery,Mysuru,2025-03-08,2025-03-10,Delivered,2
1470,1470,Bluedart,Surat,,,Not Shipped,4
1471,1471,Xpressbees,Hyderabad,2026-05-09,2026-05-18,Delivered Late,6
1472,1472,Ecom Express,Delhi,2024-03-21,2024-03-25,Delivered,5
1473,1473,Ecom Express,Lucknow,2024-12-31,2025-01-05,Delivered,6
1474,1474,Ecom Express,Chandigarh,2025-12-13,2025-12-16,Delivered Late,3
1475,1475,DTDC,Indore,2024-07-03,2024-07-06,Delivered Late,2
1476,1476,DTDC,Chennai,2026-02-10,2026-02-14,Delivered,5
1477,1477,Bluedart,Jaipur,,,Not Shipped,7
1478,1478,Bluedart,Nashik,2024-12-17,2024-12-19,Delivered,2
1479,1479,DTDC,Patna,2025-12-27,2026-01-01,Delivered,6
1480,1480,Ekart Logistics,Hyderabad,2025-10-03,2025-10-07,Delivered,4
1481,1481,Xpressbees,Nagpur,2025-11-06,2025-11-09,Delivered Late,2
1482,1482,DTDC,Ahmedabad,2025-12-11,2025-12-17,Delivered,6
1483,1483,Xpressbees,Bhubaneswar,2026-02-23,2026-02-27,Delivered Late,3
1484,1484,Xpressbees,Nagpur,,,Not Shipped,2
1485,1485,Ecom Express,Bhubaneswar,2025-03-25,2025-03-31,Delivered,7
1486,1486,Ecom Express,Ahmedabad,2025-12-14,2025-12-19,Delivered,6
1487,1487,Ekart Logistics,Bhopal,2024-11-13,2024-11-17,Delivered,4
1488,1488,Ekart Logistics,Amritsar,2024-12-17,2024-12-24,Delivered Late,5
1489,1489,Ekart Logistics,Hyderabad,2026-07-17,,In Transit,2
1490,1490,Xpressbees,Hyderabad,,,Not Shipped,4
1491,1491,Bluedart,Bhubaneswar,2025-11-27,2025-12-04,Delivered,7
1492,1492,Ekart Logistics,Nagpur,,,Not Shipped,4
1493,1493,Xpressbees,Bhopal,2025-07-31,2025-08-04,Delivered,5
1494,1494,DTDC,Mumbai,2026-01-28,2026-02-03,Delivered,6
1495,1495,Xpressbees,Mumbai,2026-07-22,,In Transit,5
1496,1496,Xpressbees,Chandigarh,2025-03-19,2025-03-23,Delivered Late,3
1497,1497,Ecom Express,Mysuru,2026-05-30,2026-05-31,Delivered,2
1498,1498,Ekart Logistics,Kolkata,2024-11-21,,In Transit,4
1499,1499,Bluedart,Pune,2026-01-22,2026-01-27,Delivered,6
1500,1500,Xpressbees,Thiruvananthapuram,,,Processing,7
1501,1501,DTDC,Mysuru,,,Not Shipped,7
1502,1502,Xpressbees,Hyderabad,2025-03-06,2025-03-09,Delivered,4
1503,1503,Delhivery,Guwahati,2026-05-11,2026-05-16,Delivered Late,4
1504,1504,Delhivery,Guwahati,2025-07-05,2025-07-10,Delivered Late,4
1505,1505,Ecom Express,Vadodara,2025-01-11,2025-01-14,Delivered,4
1506,1506,DTDC,Kanpur,,,Not Shipped,3
1507,1507,DTDC,Lucknow,2025-07-08,2025-07-13,Delivered,6
1508,1508,Ecom Express,Amritsar,2025-02-02,2025-02-06,Delivered,4
1509,1509,Ekart Logistics,Mysuru,2026-03-24,2026-03-30,Delivered Late,4
1510,1510,Ekart Logistics,Mumbai,2025-06-05,2025-06-08,Delivered,3
1511,1511,Ekart Logistics,Ranchi,2025-09-14,2025-09-19,Delivered,5
1512,1512,Bluedart,Bhubaneswar,2025-12-28,2025-12-31,Returned,3
1513,1513,Bluedart,Coimbatore,2026-06-23,2026-06-26,Returned,4
1514,1514,DTDC,Kolkata,2025-06-13,2025-06-22,Delivered Late,7
1515,1515,Delhivery,Mysuru,2026-07-24,2026-07-28,Delivered,4
1516,1516,Delhivery,Lucknow,2024-10-15,2024-10-18,Returned,4
1517,1517,Ekart Logistics,Indore,2026-03-07,2026-03-11,Delivered,4
1518,1518,Bluedart,Indore,2025-12-24,2025-12-29,Delivered,6
1519,1519,Delhivery,Hyderabad,2025-04-08,2025-04-14,Delivered,6
1520,1520,Delhivery,Mysuru,2026-02-20,2026-02-25,Delivered Late,2
1521,1521,DTDC,Mysuru,2025-04-28,2025-05-04,Delivered Late,5
1522,1522,Delhivery,Surat,2025-12-14,2025-12-16,Delivered Late,2
1523,1523,DTDC,Chennai,2025-11-28,2025-11-30,Delivered,2
1524,1524,Ecom Express,Surat,2026-01-20,2026-01-24,Delivered,5
1525,1525,Ekart Logistics,Bhopal,2026-04-18,2026-04-23,Delivered,6
1526,1526,Bluedart,Nagpur,2025-11-28,2025-12-03,Delivered,6
1527,1527,Ekart Logistics,Kolkata,2025-03-04,2025-03-13,Delivered Late,7
1528,1528,Ekart Logistics,Surat,2026-01-13,2026-01-21,Delivered Late,7
1529,1529,DTDC,Bhubaneswar,2026-04-28,2026-05-02,Delivered Late,3
1530,1530,Ekart Logistics,Mumbai,2025-06-18,,In Transit,2
1531,1531,Delhivery,Thiruvananthapuram,2024-07-01,2024-07-05,Delivered,5
1532,1532,Delhivery,Surat,2024-09-27,2024-10-05,Delivered Late,7
1533,1533,Xpressbees,Coimbatore,2024-05-02,2024-05-07,Delivered,5
1534,1534,Bluedart,Patna,2026-06-04,2026-06-08,Delivered Late,3
1535,1535,Xpressbees,Chennai,2025-04-04,2025-04-08,Delivered Late,3
1536,1536,Delhivery,Patna,2026-06-08,2026-06-13,Delivered Late,4
1537,1537,Ecom Express,Indore,2026-03-09,2026-03-13,Delivered Late,3
1538,1538,Bluedart,Bhubaneswar,2025-04-15,2025-04-18,Delivered,3
1539,1539,DTDC,Ranchi,2025-04-17,2025-04-18,Delivered,2
1540,1540,DTDC,Jaipur,2025-09-23,,In Transit,2
1541,1541,Bluedart,Chennai,2025-09-02,2025-09-04,Delivered,2
1542,1542,Bluedart,Mysuru,2026-01-25,2026-01-30,Delivered,6
1543,1543,Bluedart,Kochi,2026-08-18,2026-08-23,Delivered,5
1544,1544,DTDC,Vadodara,2025-12-08,2025-12-10,Delivered,3
1545,1545,Ecom Express,Nashik,2025-12-07,2025-12-15,Delivered Late,7
1546,1546,Ekart Logistics,Kolkata,2026-02-21,2026-02-23,Delivered Late,2
1547,1547,DTDC,Pune,2026-04-03,2026-04-06,Delivered,4
1548,1548,Bluedart,Chennai,2024-06-30,2024-07-09,Delivered Late,7
1549,1549,Xpressbees,Thiruvananthapuram,2024-08-11,2024-08-15,Returned,2
1550,1550,Ekart Logistics,Surat,2026-05-13,2026-05-17,Delivered Late,4
1551,1551,Delhivery,Indore,2025-07-07,2025-07-10,Delivered,3
1552,1552,Ekart Logistics,Indore,2025-05-11,2025-05-15,Delivered,5
1553,1553,Ekart Logistics,Lucknow,2025-11-27,2025-12-01,Delivered,4
1554,1554,Bluedart,Patna,2026-06-21,2026-06-30,Delivered Late,7
1555,1555,DTDC,Nashik,2025-10-05,2025-10-14,Delivered Late,7
1556,1556,Ecom Express,Guwahati,2024-12-24,2024-12-26,Delivered,2
1557,1557,DTDC,Amritsar,2025-04-10,2025-04-14,Delivered Late,2
1558,1558,DTDC,Bengaluru,2025-12-07,2025-12-09,Delivered,3
1559,1559,Ekart Logistics,Pune,2026-03-01,2026-03-09,Delivered Late,7
1560,1560,DTDC,Kolkata,2025-12-10,2025-12-15,Delivered Late,3
1561,1561,Bluedart,Bengaluru,2024-05-05,2024-05-12,Delivered Late,6
1562,1562,Delhivery,Chandigarh,2025-07-03,2025-07-08,Delivered Late,3
1563,1563,Xpressbees,Kanpur,2025-04-23,2025-04-27,Delivered,5
1564,1564,Xpressbees,Chandigarh,2025-12-05,2025-12-09,Delivered,5
1565,1565,DTDC,Coimbatore,2024-03-18,,In Transit,6
1566,1566,Ekart Logistics,Chennai,2025-08-27,2025-09-02,Delivered Late,4
1567,1567,Delhivery,Bengaluru,2025-08-06,2025-08-10,Delivered,4
1568,1568,Ecom Express,Nagpur,2026-03-25,2026-03-28,Delivered,3
1569,1569,Bluedart,Thiruvananthapuram,2026-01-12,2026-01-18,Delivered Late,5
1570,1570,Xpressbees,Kanpur,2025-08-27,2025-08-31,Delivered,5
1571,1571,Xpressbees,Kanpur,2026-01-19,,In Transit,3
1572,1572,Ekart Logistics,Pune,2026-07-17,2026-07-22,Delivered Late,5
1573,1573,Ekart Logistics,Thiruvananthapuram,2026-03-01,2026-03-07,Delivered,7
1574,1574,Xpressbees,Kochi,2025-12-24,2025-12-28,Delivered Late,2
1575,1575,Bluedart,Coimbatore,2024-10-20,2024-10-29,Delivered Late,6
1576,1576,Ecom Express,Kolkata,2025-03-05,2025-03-12,Delivered,7
1577,1577,Ekart Logistics,Mysuru,2026-03-14,2026-03-15,Delivered,2
1578,1578,DTDC,Ahmedabad,2024-04-16,2024-04-22,Delivered,7
1579,1579,Ecom Express,Bengaluru,2026-04-08,2026-04-13,Delivered,5
1580,1580,Ecom Express,Jaipur,2025-06-12,2025-06-17,Delivered Late,3
1581,1581,Bluedart,Bhubaneswar,2024-05-17,2024-05-24,Returned,7
1582,1582,Delhivery,Kanpur,2026-08-18,2026-08-22,Delivered,4
1583,1583,Ekart Logistics,Lucknow,2026-05-29,2026-06-02,Delivered,4
1584,1584,Ecom Express,Pune,2025-10-19,2025-10-26,Delivered Late,6
1585,1585,Ecom Express,Ranchi,2025-04-20,,In Transit,7
1586,1586,Bluedart,Nashik,2025-07-02,,In Transit,5
1587,1587,Bluedart,Ranchi,2025-11-24,2025-11-26,Delivered,3
1588,1588,Bluedart,Delhi,2026-01-17,,In Transit,4
1589,1589,Ekart Logistics,Amritsar,2026-06-19,2026-06-21,Delivered,3
1590,1590,Ekart Logistics,Vadodara,,,Not Shipped,4
1591,1591,Ekart Logistics,Coimbatore,2026-01-07,2026-01-10,Delivered,4
1592,1592,Ekart Logistics,Bengaluru,2025-05-26,,In Transit,2
1593,1593,Ecom Express,Mumbai,2025-12-06,2025-12-09,Delivered,3
1594,1594,Delhivery,Ranchi,,,Processing,4
1595,1595,Bluedart,Chandigarh,2025-12-01,2025-12-03,Delivered,3
1596,1596,Bluedart,Mumbai,2025-12-23,2025-12-28,Delivered,6
1597,1597,Ecom Express,Thiruvananthapuram,2025-08-10,,In Transit,6
1598,1598,Ekart Logistics,Ahmedabad,2026-05-12,2026-05-16,Delivered,5
1599,1599,Delhivery,Bhopal,2024-12-10,2024-12-15,Delivered,5
1600,1600,Bluedart,Amritsar,2024-12-26,2024-12-28,Delivered Late,2
1601,1601,Bluedart,Surat,2025-05-23,2025-05-27,Returned,3
1602,1602,Ecom Express,Nagpur,2025-12-27,2025-12-29,Delivered,3
1603,1603,Bluedart,Chennai,2026-04-01,,In Transit,5
1604,1604,Xpressbees,Amritsar,2026-05-12,2026-05-17,Delivered Late,5
1605,1605,DTDC,Delhi,2026-01-19,2026-01-25,Delivered,7
